condition,run,model,triples_seen_in_training,frequency
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('d', 'd', 'd')",42
50L_50NL,2,50L_50NL_2_1,"('s', 's', 's')",58
50L_50NL,2,50L_50NL_2_1,"('s', 's', 's')",58
50L_50NL,2,50L_50NL_2_1,"('s', 's', 's')",58
50L_50NL,2,50L_50NL_2_1,"('s', 's', 's')",58
50L_50NL,2,50L_50NL_2_1,"('s', 's', 's')",58
50L_50NL,2,50L_50NL_2_1,"('s', 's', 's')",58
50L_50NL,2,50L_50NL_2_1,"('s', 's', 's')",58
50L_50NL,2,50L_50NL_2_1,"('s', 's', 's')",58
50L_50NL,2,50L_50NL_2_1,"('s', 's', 's')",58
50L_50NL,2,50L_50NL_2_1,"('n', 'n', 'n')",598
50L_50NL,2,50L_50NL_2_1,"('n', 'n', 'n')",598
50L_50NL,2,50L_50NL_2_1,"('n', 'n', 'n')",598
50L_50NL,2,50L_50NL_2_1,"('n', 'n', 'n')",598
50L_50NL,2,50L_50NL_2_1,"('n', 'n', 'n')",598
50L_50NL,2,50L_50NL_2_1,"('n', 'n', 'n')",598
50L_50NL,2,50L_50NL_2_1,"('n', 'n', 'n')",598
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', nan, 'ɡ')",60
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', nan, 'ɡ')",60
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
50L_50NL,2,50L_50NL_2_1,"('ɡ', nan, 'ɡ')",60
50L_50NL,2,50L_50NL_2_1,"('ɡ', 'ɡ', 'ɡ')",495
