condition,run,model,num_incorrect_predictions,num_of_triples_seen_in_training,num_of_triples_unseen_in_training
90L_10NL,1,90L_10NL_1_1,2547,2547,0
90L_10NL,1,90L_10NL_1_2,2852,2852,0
90L_10NL,1,90L_10NL_1_3,2520,2520,0
90L_10NL,1,90L_10NL_1_4,2764,2764,0
90L_10NL,2,90L_10NL_2_1,1638,1638,0
90L_10NL,2,90L_10NL_2_2,1492,1492,0
90L_10NL,2,90L_10NL_2_3,1569,1569,0
90L_10NL,2,90L_10NL_2_4,1891,1891,0
90L_10NL,3,90L_10NL_3_1,3024,3024,0
90L_10NL,3,90L_10NL_3_2,2831,2831,0
90L_10NL,3,90L_10NL_3_3,2798,2798,0
90L_10NL,3,90L_10NL_3_4,2715,2715,0
