condition,run,model,triples_seen_in_training,test_frequency,training_frequency
10L_90NL,3,10L_90NL_3_1,"('s', 'sk', 's')",13,381
10L_90NL,3,10L_90NL_3_1,"('s', 's', 's')",62,91
10L_90NL,3,10L_90NL_3_1,"('s', 'sk', 's')",13,381
10L_90NL,3,10L_90NL_3_1,"('s', 'sk', 's')",13,381
10L_90NL,3,10L_90NL_3_1,"('s', 'sk', 's')",13,381
10L_90NL,3,10L_90NL_3_1,"('sk', 'sk', 's')",16,276
10L_90NL,3,10L_90NL_3_1,"('s', 's', 'sk')",20,189
10L_90NL,3,10L_90NL_3_1,"('s', 'sk', 'sk')",29,527
10L_90NL,3,10L_90NL_3_1,"('s', 'sk', 'sk')",29,527
10L_90NL,3,10L_90NL_3_1,"('s', 'sk', 'sk')",29,527
10L_90NL,3,10L_90NL_3_1,"('s', 's', 'sk')",20,189
10L_90NL,3,10L_90NL_3_1,"('s', 's', 'sk')",20,189
10L_90NL,3,10L_90NL_3_1,"('s', 's', 'sk')",20,189
10L_90NL,3,10L_90NL_3_1,"('s', 'sk', 'sk')",29,527
10L_90NL,3,10L_90NL_3_1,"('s', 's', 'sk')",20,189
10L_90NL,3,10L_90NL_3_1,"('s', 'sk', 'sk')",29,527
10L_90NL,3,10L_90NL_3_1,"('s', 's', 'sk')",20,189
10L_90NL,3,10L_90NL_3_1,"('s', 's', 'sk')",20,189
10L_90NL,3,10L_90NL_3_1,"('s', 's', 'sk')",20,189
10L_90NL,3,10L_90NL_3_1,"('s', 's', 'sk')",20,189
10L_90NL,3,10L_90NL_3_1,"('s', 's', 'sk')",20,189
10L_90NL,3,10L_90NL_3_1,"('s', 's', 'sk')",20,189
10L_90NL,3,10L_90NL_3_1,"('s', 's', 'sk')",20,189
10L_90NL,3,10L_90NL_3_1,"('s', 's', 'sk')",20,189
10L_90NL,3,10L_90NL_3_1,"('s', 'sk', 'sk')",29,527
10L_90NL,3,10L_90NL_3_1,"('s', 'sk', 'sk')",29,527
10L_90NL,3,10L_90NL_3_1,"('s', 's', 'sk')",20,189
10L_90NL,3,10L_90NL_3_1,"('s', 'sk', 'sk')",29,527
10L_90NL,3,10L_90NL_3_1,"('s', 'sk', 'sk')",29,527
10L_90NL,3,10L_90NL_3_1,"('sk', 'sk', 'sk')",21,246
10L_90NL,3,10L_90NL_3_1,"('sk', 'sk', 'sk')",21,246
10L_90NL,3,10L_90NL_3_1,"('sk', 'sk', 'sk')",21,246
10L_90NL,3,10L_90NL_3_1,"('s', 's', 's')",62,91
10L_90NL,3,10L_90NL_3_1,"('s', 's', 's')",62,91
10L_90NL,3,10L_90NL_3_1,"('s', 's', 's')",62,91
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 's', 's')",62,91
10L_90NL,3,10L_90NL_3_1,"('s', 's', 's')",62,91
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 's', 's')",62,91
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
10L_90NL,3,10L_90NL_3_1,"('s', 'ɡ', 's')",276,28
