condition,run,model,triples_seen_in_training,test_frequency,training_frequency
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 'sk')",16,2594
50L_50NL,3,50L_50NL_3_2,"('s', 's', 'sk')",23,859
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 'sk')",16,2594
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 'sk')",16,2594
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 'sk')",16,2594
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 'sk')",16,2594
50L_50NL,3,50L_50NL_3_2,"('sk', 'sk', 'sk')",12,1252
50L_50NL,3,50L_50NL_3_2,"('sk', 'sk', 'sk')",12,1252
50L_50NL,3,50L_50NL_3_2,"('sk', 'sk', 'sk')",12,1252
50L_50NL,3,50L_50NL_3_2,"('sk', 'sk', 'sk')",12,1252
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
50L_50NL,3,50L_50NL_3_2,"('s', 'sk', 's')",39,1752
