condition,run,model,triples_seen_in_training,test_frequency,training_frequency
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
50L_50NL,3,50L_50NL_3_4,"('ɡ', 'ɡ', 's')",210,114
