condition,run,model,triples_seen_in_training
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
50L_50NL,3,50L_50NL_3_4,"('x', 'x', 'x')"
