filename,l_acc,nl_acc
10L_90NL_1_1,54.72,77.73
10L_90NL_1_2,58.7,79.44
10L_90NL_1_3,59.94,75.32
10L_90NL_1_4,62.06,82.45
10L_90NL_2_1,64.29,75.05
10L_90NL_2_2,66.84,76.62
10L_90NL_2_3,64.91,68.15
10L_90NL_2_4,61.43,68.97
10L_90NL_3_1,60.3,77.03
10L_90NL_3_2,62.64,73.03
10L_90NL_3_3,61.34,73.81
10L_90NL_3_4,62.14,76.12
50L_50NL_1_1,86.35,74.59
50L_50NL_1_2,87.75,70.1
50L_50NL_1_3,91.55,69.86
50L_50NL_1_4,88.07,72.06
50L_50NL_2_1,85.72,77.57
50L_50NL_2_2,84.03,44.78
50L_50NL_2_3,87.78,49.26
50L_50NL_2_4,91.08,53.35
50L_50NL_3_1,81.17,72.94
50L_50NL_3_2,82.56,63.61
50L_50NL_3_3,82.92,71.12
50L_50NL_3_4,84.91,66.17
90L_10NL_1_1,89.23,29.31
90L_10NL_1_2,82.31,35.76
90L_10NL_1_3,90.86,23.59
90L_10NL_1_4,87.66,40.06
90L_10NL_2_1,91.62,25.04
90L_10NL_2_2,90.22,34.83
90L_10NL_2_3,88.69,42.92
90L_10NL_2_4,92.24,22.75
90L_10NL_3_1,89.59,22.37
90L_10NL_3_2,87.22,17.45
90L_10NL_3_3,89.57,19.03
90L_10NL_3_4,91.65,5.34
