filename,l_acc,nl_acc
10L_90NL_1_1,64.7,79.1
10L_90NL_1_2,17.88,51.66
10L_90NL_1_3,20.39,64.14
10L_90NL_1_4,56.06,79.73
10L_90NL_2_1,69.09,80.15
10L_90NL_2_2,26.32,64.83
10L_90NL_2_3,23.53,64.02
10L_90NL_2_4,69.81,68.38
10L_90NL_3_1,76.82,74.63
10L_90NL_3_2,37.12,59.75
10L_90NL_3_3,29.96,56.49
10L_90NL_3_4,69.2,79.84
50L_50NL_1_1,81.45,56.47
50L_50NL_1_2,80.06,62.34
50L_50NL_1_3,73.34,54.21
50L_50NL_1_4,88.95,63.51
50L_50NL_2_1,90.09,71.96
50L_50NL_2_2,83.43,51.86
50L_50NL_2_3,88.7,53.42
50L_50NL_2_4,92.72,48.62
50L_50NL_3_1,72.15,56.28
50L_50NL_3_2,69.82,46.29
50L_50NL_3_3,72.66,50.44
50L_50NL_3_4,70.87,48.16
90L_10NL_1_1,88.68,29.83
90L_10NL_1_2,81.38,15.28
90L_10NL_1_3,83.96,15.58
90L_10NL_1_4,88.8,38.9
90L_10NL_2_1,92.57,29.33
90L_10NL_2_2,83.78,10.43
90L_10NL_2_3,83.91,20.48
90L_10NL_2_4,88.01,23.46
90L_10NL_3_1,87.59,11.25
90L_10NL_3_2,82.64,9.07
90L_10NL_3_3,81.08,13.91
90L_10NL_3_4,91.12,17.15
