condition,run,model,num_incorrect_predictions,num_of_triples_seen_in_training,num_of_triples_unseen_in_training
90L_10NL,2,90L_10NL_2_3,2074,0,2074
90L_10NL,2,90L_10NL_2_2,2257,0,2257
90L_10NL,3,90L_10NL_3_4,1426,0,1426
90L_10NL,1,90L_10NL_1_1,660,0,660
90L_10NL,1,90L_10NL_1_2,660,0,660
90L_10NL,1,90L_10NL_1_4,660,0,660
90L_10NL,3,90L_10NL_3_2,1686,0,1686
90L_10NL,2,90L_10NL_2_4,2485,0,2485
90L_10NL,3,90L_10NL_3_1,1850,0,1850
90L_10NL,2,90L_10NL_2_1,2473,0,2473
90L_10NL,1,90L_10NL_1_3,660,0,660
90L_10NL,3,90L_10NL_3_3,1491,0,1491
