condition,run,model,triples_seen_in_training,frequency
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
90L_10NL,2,90L_10NL_2_1,"('p', 'p', 'p')",660
