condition,run,model,num_incorrect_predictions,num_of_triples_seen_in_training,num_of_triples_unseen_in_training
90L_10NL,1,90L_10NL_1_1,660,0,660
90L_10NL,1,90L_10NL_1_2,660,0,660
90L_10NL,1,90L_10NL_1_3,660,0,660
90L_10NL,1,90L_10NL_1_4,660,0,660
90L_10NL,2,90L_10NL_2_1,2473,1275,1198
90L_10NL,2,90L_10NL_2_2,2257,1135,1122
90L_10NL,2,90L_10NL_2_3,2074,1286,788
90L_10NL,2,90L_10NL_2_4,2485,1220,1265
90L_10NL,3,90L_10NL_3_1,1850,647,1203
90L_10NL,3,90L_10NL_3_2,1686,497,1189
90L_10NL,3,90L_10NL_3_3,1491,505,986
90L_10NL,3,90L_10NL_3_4,1426,367,1059
