filename,l_acc,nl_acc
10L_90NL_1_1,66.02,76.18
10L_90NL_1_4,61.67,77.05
10L_90NL_2_1,63.94,77.59
10L_90NL_2_4,70.19,77.3
10L_90NL_3_4,74.61,75.29
50L_50NL_1_1,79.46,66.16
50L_50NL_1_2,81.66,62.92
50L_50NL_1_3,80.7,53.14
50L_50NL_1_4,82.12,73.06
50L_50NL_2_1,90.41,79.45
50L_50NL_2_2,89.26,56.03
50L_50NL_2_3,88.18,57.65
50L_50NL_2_4,88.82,45.73
50L_50NL_3_1,80.9,74.18
50L_50NL_3_2,74.83,48.64
50L_50NL_3_3,74.61,54.24
50L_50NL_3_4,81.05,77.07
90L_10NL_1_1,85.29,27.34
90L_10NL_1_2,84.62,17.51
90L_10NL_1_3,87.3,26.8
90L_10NL_1_4,88.0,36.3
90L_10NL_2_1,90.76,30.17
90L_10NL_2_2,93.97,27.06
90L_10NL_2_4,93.74,20.35
90L_10NL_3_1,89.07,10.26
90L_10NL_3_2,86.93,20.08
90L_10NL_3_3,85.74,15.34
90L_10NL_3_4,87.31,10.67
