filename,l_acc,nl_acc,total_acc
10L_90NL_1_1,73.00865800865802,72.38058551617874,72.44719926538107
10L_90NL_1_2,36.4069264069264,62.40112994350282,59.64416896235078
10L_90NL_1_3,27.965367965367964,65.74730354391372,61.74012855831038
10L_90NL_1_4,81.7965367965368,80.9322033898305,81.0238751147842
10L_90NL_2_1,66.16883116883116,77.33692860811504,76.1524334251607
10L_90NL_2_2,44.8051948051948,60.526450950179765,58.859044995408624
10L_90NL_2_3,51.341991341991346,64.26040061633283,62.89026629935721
10L_90NL_2_4,62.4025974025974,77.59116589625064,75.98025711662075
10L_90NL_3_1,77.59740259740259,70.2080123266564,70.99173553719008
10L_90NL_3_2,41.21212121212121,62.25731895223421,60.025252525252526
10L_90NL_3_3,43.658008658008654,59.86389316897791,58.14508723599633
10L_90NL_3_4,73.22510822510823,66.89779147406266,67.56887052341598
50L_50NL_1_1,82.4334251606979,80.57392102846647,81.50367309458218
50L_50NL_1_2,59.738292011019276,61.276400367309456,60.507346189164366
50L_50NL_1_3,55.6060606060606,64.10468319559229,59.85537190082645
50L_50NL_1_4,95.30762167125803,71.1799816345271,83.24380165289256
50L_50NL_2_1,92.45179063360881,74.45821854912764,83.45500459136824
50L_50NL_2_2,61.16161616161616,63.66850321395776,62.41505968778696
50L_50NL_2_3,62.525252525252526,62.782369146005514,62.65381083562902
50L_50NL_2_4,89.14600550964187,71.63911845730027,80.39256198347108
50L_50NL_3_1,85.84022038567493,74.37557392102848,80.1078971533517
50L_50NL_3_2,89.24242424242425,72.41965105601469,80.83103764921947
50L_50NL_3_3,61.82277318640955,63.186409550045916,62.504591368227736
50L_50NL_3_4,90.92745638200184,79.52708907254362,85.22727272727273
90L_10NL_1_1,87.73240883410375,35.34632034632035,82.17630853994491
90L_10NL_1_2,86.17103235747304,31.666666666666664,80.39026629935721
90L_10NL_1_3,91.44838212634822,32.01298701298702,85.14462809917356
90L_10NL_1_4,88.86492039034411,32.96536796536797,82.93617998163452
90L_10NL_2_1,91.57421674370826,24.047619047619047,84.41230486685032
90L_10NL_2_2,92.3035439137134,32.705627705627705,85.98255280073462
90L_10NL_2_3,92.03646635850026,39.58874458874459,86.47382920110192
90L_10NL_2_4,88.72624550590652,35.8008658008658,83.1129476584022
90L_10NL_3_1,83.88051948051948,15.33596837944664,75.91827364554638
90L_10NL_3_2,88.42077922077922,31.541501976284586,81.81359044995409
90L_10NL_3_3,89.9012987012987,23.49802371541502,82.18778696051423
90L_10NL_3_4,92.65714285714286,37.58893280632411,86.2603305785124
