condition,run,model,num_incorrect_predictions,num_of_triples_seen_in_training,num_of_triples_unseen_in_training
50L_50NL,1,50L_50NL_1_1,4228,4228,0
50L_50NL,1,50L_50NL_1_2,15286,15286,0
50L_50NL,1,50L_50NL_1_3,14895,14895,0
50L_50NL,1,50L_50NL_1_4,1210,1210,0
50L_50NL,2,50L_50NL_2_1,1812,1812,0
50L_50NL,2,50L_50NL_2_2,10592,10592,0
50L_50NL,2,50L_50NL_2_3,11152,11152,0
50L_50NL,2,50L_50NL_2_4,2532,2532,0
50L_50NL,3,50L_50NL_3_1,3720,3720,0
50L_50NL,3,50L_50NL_3_2,2683,2683,0
50L_50NL,3,50L_50NL_3_3,20840,20840,0
50L_50NL,3,50L_50NL_3_4,1878,1878,0
