condition,run,model,num_incorrect_predictions,num_of_triples_seen_in_training,num_of_triples_unseen_in_training
10L_90NL,1,10L_90NL_1_1,1214,0,1214
10L_90NL,2,10L_90NL_2_2,2614,0,2614
10L_90NL,3,10L_90NL_3_2,9505,0,9505
10L_90NL,3,10L_90NL_3_4,9734,0,9734
10L_90NL,3,10L_90NL_3_3,9267,0,9267
10L_90NL,1,10L_90NL_1_4,564,0,564
10L_90NL,2,10L_90NL_2_1,1707,0,1707
10L_90NL,3,10L_90NL_3_1,4366,0,4366
10L_90NL,1,10L_90NL_1_3,2743,0,2743
10L_90NL,2,10L_90NL_2_3,2510,0,2510
10L_90NL,2,10L_90NL_2_4,1541,0,1541
10L_90NL,1,10L_90NL_1_2,2814,0,2814
