condition,run,model,triples_seen_in_training,test_frequency,training_frequency
90L_10NL,2,90L_10NL_2_2,"('nɡ', 'n', 'nɡ')",43,817
90L_10NL,2,90L_10NL_2_2,"('nɡ', 'n', 'nɡ')",43,817
90L_10NL,2,90L_10NL_2_2,"('nɡ', 'n', 'nɡ')",43,817
90L_10NL,2,90L_10NL_2_2,"('nɡ', 'n', 'nɡ')",43,817
90L_10NL,2,90L_10NL_2_2,"('nɡ', 'n', 'nɡ')",43,817
90L_10NL,2,90L_10NL_2_2,"('nɡ', 'n', 'nɡ')",43,817
90L_10NL,2,90L_10NL_2_2,"('nɡ', 'n', 'nɡ')",43,817
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
90L_10NL,2,90L_10NL_2_2,"('ɾs', 'ɾs', 'ɾs')",268,641
