condition,run,model,triples_seen_in_training,test_frequency,training_frequency
90L_10NL,2,90L_10NL_2_4,"('s', 's', 's')",836,1141
90L_10NL,2,90L_10NL_2_4,"('s', 's', 's')",836,1141
90L_10NL,2,90L_10NL_2_4,"('s', 's', 's')",836,1141
90L_10NL,2,90L_10NL_2_4,"('s', 's', 's')",836,1141
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ɾs', 'ɾs', 'ɾs')",394,659
90L_10NL,2,90L_10NL_2_4,"('ç', 'ç', 'ç')",69,117
90L_10NL,2,90L_10NL_2_4,"('ç', 'ç', 'ç')",69,117
90L_10NL,2,90L_10NL_2_4,"('ç', 'ç', 'ç')",69,117
90L_10NL,2,90L_10NL_2_4,"('ç', 'x', 'ç')",465,601
90L_10NL,2,90L_10NL_2_4,"('ç', 'x', 'ç')",465,601
90L_10NL,2,90L_10NL_2_4,"('ç', 'x', 'ç')",465,601
90L_10NL,2,90L_10NL_2_4,"('ç', 'x', 'ç')",465,601
90L_10NL,2,90L_10NL_2_4,"('ç', 'x', 'ç')",465,601
90L_10NL,2,90L_10NL_2_4,"('ç', 'x', 'ç')",465,601
90L_10NL,2,90L_10NL_2_4,"('ç', 'x', 'ç')",465,601
90L_10NL,2,90L_10NL_2_4,"('ç', 'ç', 'ç')",69,117
